,0
CP000865:DHFKPJEJ_00078,171
CP000865:DHFKPJEJ_00079,172
CP000865:DHFKPJEJ_00080,173
CP000865:DHFKPJEJ_00081,174
CP000865:DHFKPJEJ_00082,175
CP000865:DHFKPJEJ_00083,176
CP000865:DHFKPJEJ_00084,177
CP000865:DHFKPJEJ_00085,178
CP000865:DHFKPJEJ_00086,179
CP000865:DHFKPJEJ_00087,180
CP000865:DHFKPJEJ_00088,181
CP000865:DHFKPJEJ_00089,182
CP000865:DHFKPJEJ_00090,183
CP000865:DHFKPJEJ_00091,184
CP000865:DHFKPJEJ_00092,185
CP000865:DHFKPJEJ_00093,186
CP000865:DHFKPJEJ_00094,187
CP000865:DHFKPJEJ_00095,188
CP001922.1.gff,189
CP001922:CP001922.1,190
CP001922:IGJGDNOH_00001,191
CP001922:IGJGDNOH_00002,192
CP001922:IGJGDNOH_00003,193
CP001922:IGJGDNOH_00004,194
CP001922:IGJGDNOH_00005,195
CP001922:IGJGDNOH_00006,196
CP001922:IGJGDNOH_00007,197
CP001922:IGJGDNOH_00008,198
CP001922:IGJGDNOH_00009,199
CP001922:IGJGDNOH_00010,200
CP001922:IGJGDNOH_00011,201
CP001922:IGJGDNOH_00012,202
CP001922:IGJGDNOH_00013,203
CP001922:IGJGDNOH_00014,204
CP001922:IGJGDNOH_00015,205
CP001922:IGJGDNOH_00016,206
CP001922:IGJGDNOH_00017,207
CP001922:IGJGDNOH_00018,208
CP001922:IGJGDNOH_00019,209
CP001922:IGJGDNOH_00020,210
CP001922:IGJGDNOH_00021,211
CP001922:IGJGDNOH_00022,212
CP001922:IGJGDNOH_00023,213
CP001922:IGJGDNOH_00024,214
CP001922:IGJGDNOH_00025,215
CP001922:IGJGDNOH_00026,216
CP001922:IGJGDNOH_00027,217
CP001922:IGJGDNOH_00028,218
CP001922:IGJGDNOH_00029,219
CP001922:IGJGDNOH_00030,220
CP001922:IGJGDNOH_00031,221
CP001922:IGJGDNOH_00032,222
CP001922:IGJGDNOH_00033,223
CP001922:IGJGDNOH_00034,224
CP001922:IGJGDNOH_00035,225
CP001922:IGJGDNOH_00036,226
CP001922:IGJGDNOH_00037,227
CP001922:IGJGDNOH_00038,228
CP001922:IGJGDNOH_00039,229
CP001922:IGJGDNOH_00040,230
CP001922:IGJGDNOH_00041,231
CP001922:IGJGDNOH_00042,232
CP001922:IGJGDNOH_00043,233
CP001922:IGJGDNOH_00044,234
CP001922:IGJGDNOH_00045,235
CP001922:IGJGDNOH_00046,236
CP001922:IGJGDNOH_00047,237
CP001922:IGJGDNOH_00048,238
CP001922:IGJGDNOH_00049,239
CP001922:IGJGDNOH_00050,240
CP001922:IGJGDNOH_00051,241
CP001922:IGJGDNOH_00052,242
CP001922:IGJGDNOH_00053,243
CP001922:IGJGDNOH_00054,244
CP001922:IGJGDNOH_00055,245
CP001922:IGJGDNOH_00056,246
CP001922:IGJGDNOH_00057,247
CP001922:IGJGDNOH_00058,248
CP001922:IGJGDNOH_00059,249
CP001922:IGJGDNOH_00060,250
CP001922:IGJGDNOH_00061,251
CP001922:IGJGDNOH_00062,252
CP001922:IGJGDNOH_00063,253
CP001922:IGJGDNOH_00064,254
CP001922:IGJGDNOH_00065,255
CP001922:IGJGDNOH_00066,256
CP001922:IGJGDNOH_00067,257
CP001922:IGJGDNOH_00068,258
CP001922:IGJGDNOH_00069,259
CP001922:IGJGDNOH_00070,260
CP001922:IGJGDNOH_00071,261
CP001922:IGJGDNOH_00072,262
CP001922:IGJGDNOH_00073,263
CP001922:IGJGDNOH_00074,264
CP001922:IGJGDNOH_00075,265
CP001922:IGJGDNOH_00076,266
CP001922:IGJGDNOH_00077,267
CP001922:IGJGDNOH_00078,268
CP001922:IGJGDNOH_00079,269
CP001922:IGJGDNOH_00080,270
CP001922:IGJGDNOH_00081,271
CP001922:IGJGDNOH_00082,272
CP001922:IGJGDNOH_00083,273
CP001922:IGJGDNOH_00084,274
CP001922:IGJGDNOH_00085,275
CP001922:IGJGDNOH_00086,276
CP001922:IGJGDNOH_00087,277
CP001922:IGJGDNOH_00088,278
CP001922:IGJGDNOH_00089,279
CP001922:IGJGDNOH_00090,280
CP001922:IGJGDNOH_00091,281
CP001922:IGJGDNOH_00092,282
CP001922:IGJGDNOH_00093,283
CP001922:IGJGDNOH_00094,284
CP001922:IGJGDNOH_00095,285
CP001922:IGJGDNOH_00096,286
CP001922:IGJGDNOH_00097,287
CP001922:IGJGDNOH_00098,288
CP001922:IGJGDNOH_00099,289
CP001922:IGJGDNOH_00100,290
CP001922:IGJGDNOH_00101,291
CP001922:IGJGDNOH_00102,292
CP002524.1.gff,293
CP002524:CP002524.1,294
CP002524:JPHKCBIP_00001,295
CP002524:JPHKCBIP_00002,296
CP002524:JPHKCBIP_00003,297
CP002524:JPHKCBIP_00004,298
CP002524:JPHKCBIP_00005,299
CP002524:JPHKCBIP_00006,300
CP002524:JPHKCBIP_00007,301
CP002524:JPHKCBIP_00008,302
CP002524:JPHKCBIP_00009,303
CP002524:JPHKCBIP_00010,304
CP002524:JPHKCBIP_00011,305
CP002524:JPHKCBIP_00012,306
CP002524:JPHKCBIP_00013,307
CP002524:JPHKCBIP_00014,308
CP002524:JPHKCBIP_00015,309
CP002524:JPHKCBIP_00016,310
CP002524:JPHKCBIP_00017,311
CP002524:JPHKCBIP_00018,312
CP002524:JPHKCBIP_00019,313
CP002524:JPHKCBIP_00020,314
CP002524:JPHKCBIP_00021,315
CP002524:JPHKCBIP_00022,316
CP002524:JPHKCBIP_00023,317
CP002524:JPHKCBIP_00024,318
CP002524:JPHKCBIP_00025,319
CP002524:JPHKCBIP_00026,320
CP002524:JPHKCBIP_00027,321
CP002524:JPHKCBIP_00028,322
CP002524:JPHKCBIP_00029,323
CP002524:JPHKCBIP_00030,324
CP002524:JPHKCBIP_00031,325
CP002524:JPHKCBIP_00032,326
CP002524:JPHKCBIP_00033,327
CP002524:JPHKCBIP_00034,328
CP002524:JPHKCBIP_00035,329
CP002524:JPHKCBIP_00036,330
CP002524:JPHKCBIP_00037,331
CP002524:JPHKCBIP_00038,332
CP002524:JPHKCBIP_00039,333
CP002524:JPHKCBIP_00040,334
CP002524:JPHKCBIP_00041,335
CP002524:JPHKCBIP_00042,336
CP002524:JPHKCBIP_00043,337
CP002524:JPHKCBIP_00044,338
CP002524:JPHKCBIP_00045,339
CP002524:JPHKCBIP_00046,340
CP002524:JPHKCBIP_00047,341
CP002524:JPHKCBIP_00048,342
CP002524:JPHKCBIP_00049,343
CP002524:JPHKCBIP_00050,344
CP002524:JPHKCBIP_00051,345
CP002524:JPHKCBIP_00052,346
CP002524:JPHKCBIP_00053,347
CP002524:JPHKCBIP_00054,348
CP002524:JPHKCBIP_00055,349
CP002524:JPHKCBIP_00056,350
CP002524:JPHKCBIP_00057,351
CP002524:JPHKCBIP_00058,352
CP002524:JPHKCBIP_00059,353
CP002524:JPHKCBIP_00060,354
CP002524:JPHKCBIP_00061,355
CP002524:JPHKCBIP_00062,356
CP002524:JPHKCBIP_00063,357
CP002524:JPHKCBIP_00064,358
CP002524:JPHKCBIP_00065,359
CP002524:JPHKCBIP_00066,360
CP002524:JPHKCBIP_00067,361
CP002524:JPHKCBIP_00068,362
CP002524:JPHKCBIP_00069,363
CP002524:JPHKCBIP_00070,364
CP002524:JPHKCBIP_00071,365
CP002524:JPHKCBIP_00072,366
CP002524:JPHKCBIP_00073,367
CP002524:JPHKCBIP_00074,368
CP002524:JPHKCBIP_00075,369
CP002524:JPHKCBIP_00076,370
CP002524:JPHKCBIP_00077,371
CP002524:JPHKCBIP_00078,372
CP002524:JPHKCBIP_00079,373
CP002524:JPHKCBIP_00080,374
CP002524:JPHKCBIP_00081,375
CP002524:JPHKCBIP_00082,376
CP002524:JPHKCBIP_00083,377
CP002524:JPHKCBIP_00084,378
CP002524:JPHKCBIP_00085,379
CP002524:JPHKCBIP_00086,380
CP002524:JPHKCBIP_00087,381
CP002524:JPHKCBIP_00088,382
CP002524:JPHKCBIP_00089,383
CP002524:JPHKCBIP_00090,384
CP002524:JPHKCBIP_00091,385
CP002524:JPHKCBIP_00092,386
CP002524:JPHKCBIP_00093,387
CP002524:JPHKCBIP_00094,388
CP002524:JPHKCBIP_00095,389
CP002524:JPHKCBIP_00096,390
CP002524:JPHKCBIP_00097,391
CP002524:JPHKCBIP_00098,392
CP002524:JPHKCBIP_00099,393
CP003501.1.gff,394
CP003501:CP003501.1,395
CP003501:PIOFOGHD_00001,396
CP003501:PIOFOGHD_00002,397
CP003501:PIOFOGHD_00003,398
CP003501:PIOFOGHD_00004,399
CP003501:PIOFOGHD_00005,400
CP003501:PIOFOGHD_00006,401
CP003501:PIOFOGHD_00007,402
CP003501:PIOFOGHD_00008,403
CP003501:PIOFOGHD_00009,404
CP003501:PIOFOGHD_00010,405
CP003501:PIOFOGHD_00011,406
CP003501:PIOFOGHD_00012,407
CP003501:PIOFOGHD_00013,408
CP003501:PIOFOGHD_00014,409
CP003501:PIOFOGHD_00015,410
CP003501:PIOFOGHD_00016,411
CP003501:PIOFOGHD_00017,412
CP003501:PIOFOGHD_00018,413
CP003501:PIOFOGHD_00019,414
CP003501:PIOFOGHD_00020,415
CP003501:PIOFOGHD_00021,416
CP003501:PIOFOGHD_00022,417
CP003501:PIOFOGHD_00023,418
CP003501:PIOFOGHD_00024,419
CP003501:PIOFOGHD_00025,420
CP003501:PIOFOGHD_00026,421
CP003501:PIOFOGHD_00027,422
CP003501:PIOFOGHD_00028,423
CP003501:PIOFOGHD_00029,424
CP003501:PIOFOGHD_00030,425
CP003501:PIOFOGHD_00031,426
CP003501:PIOFOGHD_00032,427
CP003501:PIOFOGHD_00033,428
CP003501:PIOFOGHD_00034,429
CP003501:PIOFOGHD_00035,430
CP003501:PIOFOGHD_00036,431
CP003501:PIOFOGHD_00037,432
CP003501:PIOFOGHD_00038,433
CP003501:PIOFOGHD_00039,434
CP003501:PIOFOGHD_00040,435
CP003501:PIOFOGHD_00041,436
CP003501:PIOFOGHD_00042,437
CP003501:PIOFOGHD_00043,438
CP003501:PIOFOGHD_00044,439
CP003501:PIOFOGHD_00045,440
CP003501:PIOFOGHD_00046,441
CP003501:PIOFOGHD_00047,442
CP003501:PIOFOGHD_00048,443
CP003501:PIOFOGHD_00049,444
CP003501:PIOFOGHD_00050,445
CP003501:PIOFOGHD_00051,446
CP003501:PIOFOGHD_00052,447
CP003501:PIOFOGHD_00053,448
CP003501:PIOFOGHD_00054,449
CP003501:PIOFOGHD_00055,450
CP003501:PIOFOGHD_00056,451
CP003501:PIOFOGHD_00057,452
CP003501:PIOFOGHD_00058,453
CP003501:PIOFOGHD_00059,454
CP003501:PIOFOGHD_00060,455
CP003501:PIOFOGHD_00061,456
CP003501:PIOFOGHD_00062,457
CP003501:PIOFOGHD_00063,458
CP003501:PIOFOGHD_00064,459
CP003501:PIOFOGHD_00065,460
CP003501:PIOFOGHD_00066,461
CP003501:PIOFOGHD_00067,462
CP003501:PIOFOGHD_00068,463
CP003501:PIOFOGHD_00069,464
CP003501:PIOFOGHD_00070,465
CP003501:PIOFOGHD_00071,466
CP003501:PIOFOGHD_00072,467
CP003501:PIOFOGHD_00073,468
CP003501:PIOFOGHD_00074,469
CP003501:PIOFOGHD_00075,470
CP003501:PIOFOGHD_00076,471
CP003501:PIOFOGHD_00077,472
CP003501:PIOFOGHD_00078,473
CP003501:PIOFOGHD_00079,474
CP003501:PIOFOGHD_00080,475
CP003501:PIOFOGHD_00081,476
CP003501:PIOFOGHD_00082,477
CP003501:PIOFOGHD_00083,478
CP003501:PIOFOGHD_00084,479
CP003501:PIOFOGHD_00085,480
CP003501:PIOFOGHD_00086,481
CP003501:PIOFOGHD_00087,482
CP003501:PIOFOGHD_00088,483
CP003501:PIOFOGHD_00089,484
CP003501:PIOFOGHD_00090,485
CP003501:PIOFOGHD_00091,486
CP003501:PIOFOGHD_00092,487
CP003501:PIOFOGHD_00093,488
CP003501:PIOFOGHD_00094,489
CP003501:PIOFOGHD_00095,490
CP003501:PIOFOGHD_00096,491
CP003501:PIOFOGHD_00097,492
CP003501:PIOFOGHD_00098,493
CP003501:PIOFOGHD_00099,494
CP003501:PIOFOGHD_00100,495
CP003501:PIOFOGHD_00101,496
CP003501:PIOFOGHD_00102,497
CP003501:PIOFOGHD_00103,498
CP003501:PIOFOGHD_00104,499
CP003887.1.gff,500
CP003887:ANCJLCFK_00001,501
CP003887:ANCJLCFK_00002,502
CP003887:ANCJLCFK_00003,503
CP003887:ANCJLCFK_00004,504
CP003887:ANCJLCFK_00005,505
CP003887:ANCJLCFK_00006,506
CP003887:ANCJLCFK_00007,507
CP003887:ANCJLCFK_00008,508
CP003887:ANCJLCFK_00009,509
CP003887:ANCJLCFK_00010,510
CP003887:ANCJLCFK_00011,511
CP003887:ANCJLCFK_00012,512
CP003887:ANCJLCFK_00013,513
CP003887:ANCJLCFK_00014,514
CP003887:ANCJLCFK_00015,515
CP003887:ANCJLCFK_00016,516
CP003887:ANCJLCFK_00017,517
CP003887:ANCJLCFK_00018,518
CP003887:ANCJLCFK_00019,519
CP003887:ANCJLCFK_00020,520
CP003887:ANCJLCFK_00021,521
CP003887:ANCJLCFK_00022,522
CP003887:ANCJLCFK_00023,523
CP003887:ANCJLCFK_00024,524
CP003887:ANCJLCFK_00025,525
CP003887:ANCJLCFK_00026,526
CP003887:ANCJLCFK_00027,527
CP003887:ANCJLCFK_00028,528
CP003887:ANCJLCFK_00029,529
CP003887:ANCJLCFK_00030,530
CP003887:ANCJLCFK_00031,531
CP003887:ANCJLCFK_00032,532
CP003887:ANCJLCFK_00033,533
CP003887:ANCJLCFK_00034,534
CP003887:ANCJLCFK_00035,535
CP003887:ANCJLCFK_00036,536
CP003887:ANCJLCFK_00037,537
CP003887:ANCJLCFK_00038,538
CP003887:ANCJLCFK_00039,539
CP003887:ANCJLCFK_00040,540
CP003887:ANCJLCFK_00041,541
CP003887:ANCJLCFK_00042,542
CP003887:ANCJLCFK_00043,543
CP003887:ANCJLCFK_00044,544
CP003887:ANCJLCFK_00045,545
CP003887:ANCJLCFK_00046,546
CP003887:ANCJLCFK_00047,547
CP003887:ANCJLCFK_00048,548
CP003887:ANCJLCFK_00049,549
CP003887:ANCJLCFK_00050,550
CP003887:ANCJLCFK_00051,551
CP003887:ANCJLCFK_00052,552
CP003887:ANCJLCFK_00053,553
CP003887:ANCJLCFK_00054,554
CP003887:ANCJLCFK_00055,555
CP003887:ANCJLCFK_00056,556
CP003887:ANCJLCFK_00057,557
CP003887:ANCJLCFK_00058,558
CP003887:ANCJLCFK_00059,559
CP003887:ANCJLCFK_00060,560
CP003887:ANCJLCFK_00061,561
CP003887:ANCJLCFK_00062,562
CP003887:ANCJLCFK_00063,563
CP003887:ANCJLCFK_00064,564
CP003887:ANCJLCFK_00065,565
CP003887:ANCJLCFK_00066,566
CP003887:ANCJLCFK_00067,567
CP003887:ANCJLCFK_00068,568
CP003887:ANCJLCFK_00069,569
CP003887:ANCJLCFK_00070,570
CP003887:ANCJLCFK_00071,571
CP003887:ANCJLCFK_00072,572
CP003887:ANCJLCFK_00073,573
CP003887:ANCJLCFK_00074,574
CP003887:ANCJLCFK_00075,575
CP003887:ANCJLCFK_00076,576
CP003887:ANCJLCFK_00077,577
CP003887:ANCJLCFK_00078,578
CP003887:ANCJLCFK_00079,579
CP003887:ANCJLCFK_00080,580
CP003887:ANCJLCFK_00081,581
CP003887:ANCJLCFK_00082,582
CP003887:ANCJLCFK_00083,583
CP003887:ANCJLCFK_00084,584
CP003887:ANCJLCFK_00085,585
CP003887:ANCJLCFK_00086,586
CP003887:ANCJLCFK_00087,587
CP003887:ANCJLCFK_00088,588
CP003887:ANCJLCFK_00089,589
CP003887:ANCJLCFK_00090,590
CP003887:ANCJLCFK_00091,591
CP003887:ANCJLCFK_00092,592
CP003887:CP003887.1,593
CP003888.1.gff,594
CP003888:CP003888.1,595
CP003888:DOKLFABM_00001,596
CP003888:DOKLFABM_00002,597
CP003888:DOKLFABM_00003,598
CP003888:DOKLFABM_00004,599
CP003888:DOKLFABM_00005,600
CP003888:DOKLFABM_00006,601
CP003888:DOKLFABM_00007,602
CP003888:DOKLFABM_00008,603
CP003888:DOKLFABM_00009,604
CP003888:DOKLFABM_00010,605
CP003888:DOKLFABM_00011,606
CP003888:DOKLFABM_00012,607
CP003888:DOKLFABM_00013,608
CP003888:DOKLFABM_00014,609
CP003888:DOKLFABM_00015,610
CP003888:DOKLFABM_00016,611
CP003888:DOKLFABM_00017,612
CP003888:DOKLFABM_00018,613
CP003888:DOKLFABM_00019,614
CP003888:DOKLFABM_00020,615
CP003888:DOKLFABM_00021,616
CP003888:DOKLFABM_00022,617
CP003888:DOKLFABM_00023,618
CP003888:DOKLFABM_00024,619
CP003888:DOKLFABM_00025,620
CP003888:DOKLFABM_00026,621
CP003888:DOKLFABM_00027,622
CP003888:DOKLFABM_00028,623
CP003888:DOKLFABM_00029,624
CP003888:DOKLFABM_00030,625
CP003888:DOKLFABM_00031,626
CP003888:DOKLFABM_00032,627
CP003888:DOKLFABM_00033,628
CP003888:DOKLFABM_00034,629
CP003888:DOKLFABM_00035,630
CP003888:DOKLFABM_00036,631
CP003888:DOKLFABM_00037,632
CP003888:DOKLFABM_00038,633
CP003888:DOKLFABM_00039,634
CP003888:DOKLFABM_00040,635
CP003888:DOKLFABM_00041,636
CP003888:DOKLFABM_00042,637
CP003888:DOKLFABM_00043,638
CP003888:DOKLFABM_00044,639
CP003888:DOKLFABM_00045,640
CP003888:DOKLFABM_00046,641
CP003888:DOKLFABM_00047,642
CP003888:DOKLFABM_00048,643
CP003888:DOKLFABM_00049,644
CP003888:DOKLFABM_00050,645
CP003888:DOKLFABM_00051,646
CP003888:DOKLFABM_00052,647
CP003888:DOKLFABM_00053,648
CP003888:DOKLFABM_00054,649
CP003888:DOKLFABM_00055,650
CP003888:DOKLFABM_00056,651
CP003888:DOKLFABM_00057,652
CP003888:DOKLFABM_00058,653
CP003888:DOKLFABM_00059,654
CP003888:DOKLFABM_00060,655
CP003888:DOKLFABM_00061,656
CP003888:DOKLFABM_00062,657
CP003888:DOKLFABM_00063,658
CP003888:DOKLFABM_00064,659
CP003888:DOKLFABM_00065,660
CP003888:DOKLFABM_00066,661
CP003888:DOKLFABM_00067,662
CP003888:DOKLFABM_00068,663
CP003888:DOKLFABM_00069,664
CP003888:DOKLFABM_00070,665
CP003888:DOKLFABM_00071,666
CP003888:DOKLFABM_00072,667
CP003888:DOKLFABM_00073,668
CP003888:DOKLFABM_00074,669
CP003888:DOKLFABM_00075,670
CP003888:DOKLFABM_00076,671
CP003888:DOKLFABM_00077,672
CP003888:DOKLFABM_00078,673
CP003888:DOKLFABM_00079,674
CP003888:DOKLFABM_00080,675
CP003888:DOKLFABM_00081,676
CP003888:DOKLFABM_00082,677
CP003888:DOKLFABM_00083,678
CP003888:DOKLFABM_00084,679
CP003888:DOKLFABM_00085,680
CP003888:DOKLFABM_00086,681
CP003888:DOKLFABM_00087,682
CP003888:DOKLFABM_00088,683
CP003888:DOKLFABM_00089,684
CP003888:DOKLFABM_00090,685
CP003888:DOKLFABM_00091,686
CP003888:DOKLFABM_00092,687
CP007580.1.gff,688
CP007580:CP007580.1,689
CP007580:KNLIELFB_00001,690
CP007580:KNLIELFB_00002,691
CP007580:KNLIELFB_00003,692
CP007580:KNLIELFB_00004,693
CP007580:KNLIELFB_00005,694
CP007580:KNLIELFB_00006,695
CP007580:KNLIELFB_00007,696
CP007580:KNLIELFB_00008,697
CP007580:KNLIELFB_00009,698
CP007580:KNLIELFB_00010,699
CP007580:KNLIELFB_00011,700
CP007580:KNLIELFB_00012,701
CP007580:KNLIELFB_00013,702
CP007580:KNLIELFB_00014,703
CP007580:KNLIELFB_00015,704
CP007580:KNLIELFB_00016,705
CP007580:KNLIELFB_00017,706
CP007580:KNLIELFB_00018,707
CP007580:KNLIELFB_00019,708
CP007580:KNLIELFB_00020,709
CP007580:KNLIELFB_00021,710
CP007580:KNLIELFB_00022,711
CP007580:KNLIELFB_00023,712
CP007580:KNLIELFB_00024,713
CP007580:KNLIELFB_00025,714
CP007580:KNLIELFB_00026,715
CP007580:KNLIELFB_00027,716
CP007580:KNLIELFB_00028,717
CP007580:KNLIELFB_00029,718
CP007580:KNLIELFB_00030,719
CP007580:KNLIELFB_00031,720
CP007580:KNLIELFB_00032,721
CP007580:KNLIELFB_00033,722
CP007580:KNLIELFB_00034,723
CP007580:KNLIELFB_00035,724
CP007580:KNLIELFB_00036,725
CP007580:KNLIELFB_00037,726
CP007580:KNLIELFB_00038,727
CP007580:KNLIELFB_00039,728
CP007580:KNLIELFB_00040,729
CP007580:KNLIELFB_00041,730
CP007580:KNLIELFB_00042,731
CP007580:KNLIELFB_00043,732
CP007580:KNLIELFB_00044,733
CP007580:KNLIELFB_00045,734
CP007580:KNLIELFB_00046,735
CP007580:KNLIELFB_00047,736
CP007580:KNLIELFB_00048,737
CP007580:KNLIELFB_00049,738
CP007580:KNLIELFB_00050,739
CP007580:KNLIELFB_00051,740
CP007580:KNLIELFB_00052,741
CP007580:KNLIELFB_00053,742
CP007580:KNLIELFB_00054,743
CP007580:KNLIELFB_00055,744
CP007580:KNLIELFB_00056,745
CP007580:KNLIELFB_00057,746
CP007580:KNLIELFB_00058,747
CP007580:KNLIELFB_00059,748
CP007580:KNLIELFB_00060,749
